,FALSE_POSITIVE,FALSE_NEGATIVE,TRUE_POSITIVE,TRUE_NEGATIVE
amt,525.0547374364766,109.0317571884984,599.998766375546,66.14694660334038
fraud_probability,0.7177902879157388,0.34644775979418796,0.8687314110783395,0.025334669154456767
behavior_probability,0.4032441613258565,0.22498266687211996,0.7500579090308028,0.057351669386706196
hybrid_probability,0.623426449938774,0.31000823191756754,0.8331293604640785,0.03493976922413158
amount_deviation,3.9402404004918363,0.7613653706495428,4.4629519721090265,0.42154487767730164
merchant_visits,2.292490118577075,2.7284345047923324,2.0403930131004366,3.012276864588449
new_merchant,0.15866741953698477,0.20447284345047922,0.2854803493449782,0.12009944713337477
category_visits,114.69057029926596,130.92332268370606,98.41375545851528,148.41568104433986
new_category,0.0,0.022364217252396165,0.0851528384279476,0.0
hour_deviation,7.758143645599912,7.84884723756361,9.647633116433957,5.469721577051628
location_deviation,0.7640929340319191,0.7734070204692601,0.7702284556185572,0.7655123848249492
seconds_since_previous,28639.60135516657,34817.568690095846,26536.948144104805,27356.895575073708
high_velocity,0.015810276679841896,0.07028753993610223,0.06768558951965066,0.018562981674401242
log_amount_change,1.9851133294634127,0.5724837427912084,1.1629748943682554,0.9784401337846484
log_location_change,0.6792834568687269,0.7097915608635077,0.686745236149129,0.6834663270406136
merchant_location_anomaly,0.07905138339920949,0.07348242811501597,0.10425764192139737,0.059978146274990894
amount_location_anomaly,0.2885375494071146,0.025559105431309903,0.33406113537117904,0.008132630003388595
amount_velocity_anomaly,0.00846979107848673,0.0,0.05185589519650655,0.0003062420834609342
combined_behavior_anomaly,1.9085262563523433,0.9105431309904153,1.7008733624454149,0.8420678770175283
